grant_id,org_city,cruz,status,org_name,org_state,state_party,award_type,nsf_total_budget,usaspending_obligated,usaspending_outlaid,estimated_budget,estimated_outlays,estimated_remaining
2348210,STORRS,,❌ Terminated,University of Connecticut,CT,D,Standard Grant,649205,NA,NA,649205,699143.8461538461,-49938.84615384613
2348211,MADISON,,❌ Terminated,University of Wisconsin-Madison,WI,D,Standard Grant,374000,374000,34817.56,374000,34817.56,339182.44
2348212,URBANA,,❌ Terminated,University of Illinois at Urbana-Champaign,IL,D,Standard Grant,260000,260000,39860.23,260000,39860.23,220139.77
2348648,WASHINGTON,,❌ Terminated,National Academy of Sciences,DC,,Standard Grant,1002436,1002436,175605.4,1002436,175605.4,826830.6
2348836,TEMPE,FALSE,🔄 Possibly Reinstated,Arizona State University,AZ,D,Standard Grant,297300,297300,232059.1,297300,232059.1,65240.899999999994
2348924,CAMBRIDGE,,❌ Terminated,Harvard University,MA,D,Standard Grant,504194,504194,274595.66,504194,274595.66,229598.34000000003
2348945,CORTEZ,FALSE,❌ Terminated,Crow Canyon Archaeological Center,CO,D,Standard Grant,362810,362810,220936.66,362810,220936.66,141873.34
2349282,PRIOR LAKE,TRUE,❌ Terminated,SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,MN,D,Standard Grant,159222,NA,NA,159222,174601.39772727274,-15379.397727272735
2349605,SAINT LOUIS,FALSE,❌ Terminated,Saint Louis University,MO,R,Continuing Grant,417253,NA,NA,417253,448634.14484679664,-31381.14484679664
2350008,PRINCETON,FALSE,❌ Terminated,Institute For Advanced Study,NJ,D,Standard Grant,99730,NA,NA,99730,105339.8125,-5609.8125
2350382,NEW YORK,,❌ Terminated,CUNY Borough of Manhattan Community College,NY,D,Continuing Grant,2251904,808702,76651.17,2251904,76651.17,2175252.83
2350410,SAN LUIS OBISPO,,❌ Terminated,California Polytechnic State University Foundation,CA,D,Continuing Grant,999295,NA,NA,999295,1076163.8461538462,-76868.84615384624
2400428,RALEIGH,,❌ Terminated,Shaw University,NC,D,Standard Grant,450000,450000,0,450000,0,450000
2400439,WASHINGTON,,❌ Terminated,Howard University,DC,,Standard Grant,449837,NA,NA,449837,482671.81751824816,-32834.817518248165
2400824,BEDFORD,,❌ Terminated,Middlesex Community College,MA,D,Standard Grant,554945,554945,55066.35,554945,55066.35,499878.65
